customer_id,customer_name,email,registration_date,customer_type
C001,Janice Sherman,alyssawhite@example.org,2025-12-18,PREMIUM
C002,Stephanie Gonzalez,vbaker@example.org,2024-12-30,PREMIUM
C003,Yolanda Hernandez DVM,rpratt@example.com,2024-07-25,PREMIUM
C004,Brandi Gay,rogersruth@example.net,2025-04-19,PREMIUM
C005,Samantha Pearson,blevine@example.org,2026-03-12,REGULAR
C006,Leslie Rowland,dakotalogan@example.net,2026-01-09,PREMIUM
C007,Michael Duke,anthonybrooks@example.net,2026-03-21,REGULAR
C008,Gary Flores,henry97@example.org,2025-01-01,REGULAR
C009,Kelly Newman,nguyenmichael@example.org,2025-07-31,VIP
C010,Paula Richards,kevinhernandez@example.com,2026-07-06,REGULAR
C011,Crystal Jackson,amanda05@example.net,2025-07-19,VIP
C012,Hannah Stanton,kenneth65@example.com,2026-04-14,REGULAR
C013,Ronnie Gonzalez,jamesgarcia@example.net,2026-06-26,PREMIUM
C014,Donna Davis,obriennicole@example.com,2025-09-21,REGULAR
C015,Alyssa Williams,roserebecca@example.net,2026-05-06,VIP
C016,Brian Mitchell,gphillips@example.net,2026-05-01,PREMIUM
C017,Colin Hutchinson,aaron76@example.org,2024-11-29,PREMIUM
C018,Vincent Kane,hannah64@example.org,2025-03-08,VIP
C019,Ronald Miller,greerpatrick@example.org,2025-12-26,VIP
C020,Catherine Mcpherson,michaellopez@example.org,2025-10-19,REGULAR
C021,Elizabeth Jones,wbush@example.com,2025-02-11,VIP
C022,Jacqueline Sullivan,jodi40@example.org,2025-04-14,PREMIUM
C023,Darrell Williams,jeremiahmassey@example.com,2024-09-22,VIP
C024,Charles Taylor,hillemily@example.com,2025-05-22,REGULAR
C025,Jeffrey Wallace,howardjoanne@example.com,2025-08-11,VIP
C026,Carl Garcia,ethan81@example.net,2024-10-15,PREMIUM
C027,Donald West,deborah10@example.org,2025-03-06,PREMIUM
C028,Daniel Harrison,candacecarrillo@example.org,2025-06-05,PREMIUM
C029,Kristin Marks,zwilliams@example.org,2025-09-09,REGULAR
C030,Cody Thornton,amandasmith@example.org,2026-06-01,PREMIUM
C031,Andrew Rodriguez,ryan20@example.net,2026-01-15,PREMIUM
C032,Paul Cox,lewismelinda@example.org,2025-07-01,REGULAR
C033,Troy Johnson,flowersandrew@example.org,2025-06-01,VIP
C034,Jasmine Hammond,mariagibbs@example.com,2026-07-04,VIP
C035,Brandon Dodson,wjohnson@example.net,2026-04-30,PREMIUM
C036,Daniel Montes,reyesvictoria@example.org,2025-01-17,PREMIUM
C037,Carol Myers,jacksonanne@example.com,2026-06-08,VIP
C038,Bruce Alvarez,andersonbrianna@example.com,2025-04-12,VIP
C039,Teresa Cobb,sosalawrence@example.org,2025-08-29,VIP
C040,Steven Castillo,walkertracy@example.net,2025-11-03,PREMIUM
C041,Dawn Garcia,harristerri@example.com,2025-01-04,REGULAR
C042,Kathleen Gomez,campbelltimothy@example.org,2026-05-26,PREMIUM
C043,Laura Daniels,sanderssarah@example.com,2025-06-19,REGULAR
C044,Dana Sexton,daniel85@example.net,2025-04-04,PREMIUM
C045,Anthony Kim,alicia30@example.org,2025-03-12,VIP
C046,James Cross,peteranderson@example.org,2024-09-06,REGULAR
C047,Victor Flores,qfrench@example.net,2026-06-05,PREMIUM
C048,Angel Benjamin,jacquelinegould@example.net,2026-04-13,PREMIUM
C049,Kenneth Wagner,thomas49@example.com,2026-04-01,REGULAR
C050,Kenneth Coffey,duranrose@example.com,2024-10-26,PREMIUM
C051,David Perez,aandrade@example.org,2026-06-25,PREMIUM
C052,Kristen Richardson,shawn56@example.com,2025-04-04,PREMIUM
C053,Dustin Stephenson,mckinneysarah@example.org,2026-07-05,REGULAR
C054,Matthew Suarez,blairdesiree@example.org,2025-05-27,PREMIUM
C055,Melissa Jordan,rgrant@example.com,2025-09-09,PREMIUM
C056,Theresa Jefferson,whiteglen@example.com,2025-09-04,REGULAR
C057,Carl Burton,newmanbrian@example.net,2026-05-07,VIP
C058,Christopher Richards,kramirez@example.org,2024-11-02,VIP
C059,Julie Bell,velliott@example.com,2024-12-17,REGULAR
C060,Joshua Evans,campospaula@example.net,2026-01-11,VIP
C061,Jessica Schmidt,michaelowen@example.org,2024-10-21,VIP
C062,Peter Blair,arthurwelch@example.com,2025-03-05,VIP
C063,Jennifer Ramos,cynthia73@example.net,2024-07-25,VIP
C064,John Beltran,franciscobowman@example.com,2024-12-29,REGULAR
C065,Holly Huerta,elee@example.org,2024-11-11,VIP
C066,Jason Lara,belindareed@example.com,2025-11-27,PREMIUM
C067,Lisa Kim,kwhite@example.com,2025-05-05,VIP
C068,Amber Sanchez,jefferydrake@example.com,2026-02-25,REGULAR
C069,Frank Bailey,nicole12@example.org,2025-08-16,VIP
C070,Debra Randall,tcook@example.net,2024-11-02,VIP
C071,Samuel Hall,johnsoncharlene@example.net,2024-12-05,VIP
C072,Ryan Contreras,edwardmartin@example.org,2024-08-19,VIP
C073,Denise Knox,collin72@example.com,2026-05-17,PREMIUM
C074,William Smith,james85@example.net,2026-07-04,REGULAR
C075,Theodore Wright Jr.,mmartinez@example.org,2026-04-16,REGULAR
C076,Jose Phelps,derekacosta@example.org,2026-05-05,PREMIUM
C077,Holly Peck,rhodeswilliam@example.net,2026-03-22,REGULAR
C078,Sonya Rivers,yreed@example.net,2026-01-30,PREMIUM
C079,Amy Nelson PhD,carterolivia@example.org,2025-04-29,REGULAR
C080,Rachael Randall,markmurray@example.org,2025-08-01,VIP
C081,Frederick Barnes,brittneymurray@example.net,2024-11-27,REGULAR
C082,James Landry,margaretmoore@example.com,2026-02-20,VIP
C083,Daniel Mitchell,wrightlindsey@example.net,2026-02-12,REGULAR
C084,Charles Lambert,codybrooks@example.net,2026-01-12,VIP
C085,Justin Torres,adrianyork@example.net,2024-11-20,REGULAR
C086,Whitney Berg,derrick80@example.net,2025-03-08,REGULAR
C087,Isaac Mendoza,sharonsmith@example.com,2026-01-01,VIP
C088,Benjamin Mcclain,taylor25@example.org,2026-03-15,REGULAR
C089,Sarah Pratt,vjohnson@example.com,2026-05-18,REGULAR
C090,Lisa Foster,barberdana@example.com,2026-07-03,PREMIUM
C091,Alyssa Hicks,hughesrobert@example.org,2026-05-28,PREMIUM
C092,Jordan Hughes,sbuchanan@example.org,2026-05-29,PREMIUM
C093,Darren Lee,franklinpaul@example.com,2025-06-25,PREMIUM
C094,Derrick Beltran,eclark@example.com,2026-01-31,PREMIUM
C095,Raymond Reed,jameslopez@example.org,2026-02-26,VIP
C096,Nicholas Sanchez,taylor33@example.com,2025-03-28,PREMIUM
C097,Jeremy Pena,ogonzalez@example.com,2024-10-28,VIP
C098,Daniel Hernandez,lauravalencia@example.net,2026-02-18,REGULAR
C099,Brian Huff,jacobortiz@example.org,2025-01-02,PREMIUM
C100,Jason Erickson,mevans@example.org,2025-02-17,VIP
C101,Nicholas Parker,yschultz@example.com,2026-06-05,PREMIUM
C102,Steve Bell,greed@example.org,2026-04-22,REGULAR
C103,Andrew Rodgers,nrichards@example.com,2026-03-27,VIP
C104,Andrew Salas,kennedyedwin@example.com,2024-07-26,REGULAR
C105,Jose Sanchez,curryjacob@example.org,2024-07-25,VIP
C106,Nicole Franklin,kevin04@example.net,2024-12-28,REGULAR
C107,Shelia Smith,joshualyons@example.org,2025-04-23,REGULAR
C108,Carrie Porter,jameswashington@example.com,2024-12-10,REGULAR
C109,Harold Reese,tmiller@example.net,2026-07-03,REGULAR
C110,Emily Gray,xcox@example.net,2024-10-26,VIP
C111,Kenneth Moore,tarabooker@example.net,2026-02-07,VIP
C112,David Daniel,rosariomichelle@example.org,2026-05-16,PREMIUM
C113,Megan Carr,collinspaula@example.org,2026-01-18,REGULAR
C114,Martha Davis,gregory45@example.com,2025-02-03,PREMIUM
C115,Phyllis Hanson,anthonygreen@example.net,2024-09-25,PREMIUM
C116,Sara Holmes,mercerkyle@example.net,2026-03-13,VIP
C117,Clayton Silva,diana20@example.net,2025-06-06,VIP
C118,Erin Wolfe,hclark@example.com,2025-12-18,REGULAR
C119,James Austin,kimmayo@example.net,2025-03-15,REGULAR
C120,Aaron Smith,gillcody@example.net,2024-12-31,PREMIUM
C121,Javier Smith,john46@example.com,2025-07-10,REGULAR
C122,Angela Thornton,revans@example.org,2025-11-13,VIP
C123,Frederick Erickson,nmacias@example.org,2024-10-30,PREMIUM
C124,Cameron Snyder,danielle10@example.net,2026-03-13,VIP
C125,Anna Daugherty,timothymartinez@example.net,2025-10-12,PREMIUM
C126,Kimberly Curtis,daniel96@example.com,2025-04-16,REGULAR
C127,Kenneth Hall,holly22@example.org,2025-07-28,REGULAR
C128,David Kelly,daniel37@example.net,2024-11-29,PREMIUM
C129,Travis Lewis,blewis@example.net,2025-06-26,PREMIUM
C130,Susan Vincent,lopezjames@example.org,2025-04-23,REGULAR
C131,Sergio Gilmore,ghiggins@example.org,2025-02-23,PREMIUM
C132,Mark Johnson,hross@example.net,2025-10-25,VIP
C133,James Walker,myoder@example.org,2025-10-11,PREMIUM
C134,Kristin Smith,hrodriguez@example.net,2024-12-26,REGULAR
C135,Matthew Gordon,jeanettescott@example.org,2024-09-10,REGULAR
C136,Jennifer Ramirez,wayne51@example.net,2025-05-03,REGULAR
C137,Jason Montgomery,nicole79@example.com,2025-06-26,REGULAR
C138,Rick Fitzpatrick,brianmendez@example.org,2024-12-11,VIP
